rating,genres1,gen_num,hit,userrev
8.1,"['Action', 'Thriller']","[0, 19]",1,1
8.1,"['Crime', 'Drama', 'Mystery', 'Thriller']","[5, 7, 15, 19]",1,1
8.3,"['Drama', 'War']","[7, 20]",1,0
8.2,"['Comedy', 'Romance']","[4, 16]",1,0
8.1,['Drama'],[7],1,1
8.1,['Comedy'],[4],1,0
8.1,"['Action', 'Biography', 'Drama', 'Sport']","[0, 3, 7, 18]",1,1
8.2,['Drama'],[7],1,0
8.1,"['Drama', 'History', 'War']","[7, 11, 20]",1,1
8.1,"['Drama', 'War']","[7, 20]",1,0
7.7,"['Adventure', 'Drama', 'Thriller']","[1, 7, 19]",1,0
8.1,['Drama'],[7],1,1
8.1,"['Biography', 'Crime', 'Drama', 'History']","[3, 5, 7, 11]",1,1
8.1,"['Film-Noir', 'Mystery']","[10, 15]",1,1
8.1,"['Mystery', 'Thriller']","[15, 19]",1,1
8.1,"['Biography', 'Crime', 'Drama', 'Western']","[3, 5, 7, 21]",1,1
8.1,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']","[0, 1, 17, 19]",1,1
8.1,"['Adventure', 'Drama']","[1, 7]",1,0
8.1,"['Biography', 'Drama', 'History']","[3, 7, 11]",1,1
8.1,"['Crime', 'Drama']","[5, 7]",1,1
8.1,"['Drama', 'Thriller']","[7, 19]",1,1
8.1,"['Biography', 'Drama', 'History']","[3, 7, 11]",1,1
8.1,"['Adventure', 'Comedy', 'Crime', 'Drama']","[1, 4, 5, 7]",1,0
8.1,"['Comedy', 'Drama', 'Thriller']","[4, 7, 19]",1,1
5.7,"['Action', 'Adventure', 'Drama']","[0, 1, 7]",1,1
8.1,"['Drama', 'Thriller']","[7, 19]",1,0
8.1,"['Drama', 'Sport']","[7, 18]",1,1
8.1,"['Adventure', 'Family', 'Fantasy', 'Romance']","[1, 8, 9, 16]",1,1
8.1,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Mystery']","[2, 1, 4, 5, 8, 15]",1,1
8.1,"['Adventure', 'Sci-Fi', 'Thriller']","[1, 17, 19]",1,1
8.1,"['Drama', 'Family']","[7, 8]",1,1
8.1,"['Crime', 'Drama', 'Film-Noir', 'Thriller']","[5, 7, 10, 19]",1,0
1.7,"['Crime', 'Mystery']","[5, 15]",0,1
1.5,"['Comedy', 'Family']","[4, 8]",0,0
1.9,"['Comedy', 'Family', 'Sci-Fi']","[4, 8, 17]",0,0
1.9,"['Comedy', 'Crime', 'Fantasy', 'Music']","[4, 5, 9, 13]",0,0
1.9,['Horror'],[12],0,0
1.9,['Comedy'],[4],0,1
1.8,"['Action', 'Comedy', 'Sci-Fi']","[0, 4, 17]",0,0
1.8,"['Horror', 'Romance', 'Thriller']","[12, 16, 19]",0,0
2.1,"['Animation', 'Family', 'Fantasy']","[2, 8, 9]",0,0
2,"['Comedy', 'Romance', 'Sport']","[4, 16, 18]",0,0
2.1,['Horror'],[12],0,1
1.9,['Comedy'],[4],0,0
2.1,"['Comedy', 'Musical', 'Romance']","[4, 14, 16]",0,0
1.7,"['Animation', 'Action', 'Comedy', 'Family', 'Fantasy']","[2, 0, 4, 8, 9]",0,0
1.9,"['Comedy', 'Romance']","[4, 16]",0,0
2.2,"['Animation', 'Adventure', 'Family']","[2, 1, 8]",0,0
1.8,['Comedy'],[4],0,0
1.9,"['Action', 'Adventure', 'Comedy', 'Crime', 'Musical']","[0, 1, 4, 5, 14]",0,0
2.2,"['Drama', 'Romance', 'Thriller']","[7, 16, 19]",0,0
1.9,['Comedy'],[4],0,0
1.8,"['Action', 'Adventure', 'Comedy']","[0, 1, 4]",0,0
1.5,"['Action', 'Horror', 'Sci-Fi']","[0, 12, 17]",0,0
1.7,"['Animation', 'Family', 'Fantasy']","[2, 8, 9]",0,0
2.3,"['Horror', 'Mystery', 'Sci-Fi']","[12, 15, 17]",0,1
5.3,"['Horror', 'Thriller']","[12, 19]",0,0
1.2,"['Comedy', 'Horror']","[4, 12]",0,1
1.7,"['Action', 'Comedy']","[0, 4]",0,0
2,"['Comedy', 'Sport']","[4, 18]",0,0
1.7,"['Action', 'Comedy', 'Horror']","[0, 4, 12]",0,0
2.3,"['Comedy', 'Horror', 'Sci-Fi']","[4, 12, 17]",0,1
2.1,"['Drama', 'Music', 'Romance']","[7, 13, 16]",0,1
2.4,"['Horror', 'Sci-Fi']","[12, 17]",0,0
2.2,"['Comedy', 'Family', 'Fantasy']","[4, 8, 9]",0,0
2.1,"['Action', 'Sport']","[0, 18]",0,0
1.8,['Comedy'],[4],0,0
2,"['Action', 'Adventure', 'Romance', 'Sci-Fi']","[0, 1, 16, 17]",0,1
2.6,"['Action', 'Adventure', 'Thriller']","[0, 1, 19]",0,1
2.1,['Sci-Fi'],[17],0,0
2.1,"['Action', 'Comedy', 'Adventure', 'Sci-Fi']","[0, 4, 1, 17]",0,0
2.1,"['Comedy', 'Sport']","[4, 18]",0,0
2,"['Horror', 'Sci-Fi']","[12, 17]",0,0
2.3,"['Adventure', 'Comedy']","[1, 4]",0,0
2.3,"['Horror', 'Sci-Fi']","[12, 17]",0,0
2,"['Action', 'Crime', 'Drama']","[0, 5, 7]",0,0
2.2,"['Action', 'Comedy', 'Sci-Fi']","[0, 4, 17]",0,0
2.3,['Drama'],[7],0,0
2,"['Comedy', 'Horror']","[4, 12]",0,0
2.2,['Comedy'],[4],0,0
2.4,"['Comedy', 'Crime', 'Romance']","[4, 5, 16]",0,0
2.1,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","[0, 1, 9, 17]",0,1
2.1,['Drama'],[7],0,1
2.9,['Comedy'],[4],0,0
2.4,"['Action', 'Adventure', 'Sci-Fi']","[0, 1, 17]",0,0
2.1,"['Horror', 'Sci-Fi']","[12, 17]",0,0
2.1,"['Crime', 'Drama', 'Music', 'Romance']","[5, 7, 13, 16]",0,0
1.9,['Sci-Fi'],[17],0,0
2.2,['Horror'],[12],0,0
2,"['Drama', 'History', 'Sport']","[7, 11, 18]",0,0
2.5,"['Fantasy', 'Sci-Fi']","[9, 17]",0,0
2,['Horror'],[12],0,0
2.3,['Comedy'],[4],0,0
2.9,"['Drama', 'Sport']","[7, 18]",0,1
2.4,"['Action', 'Sci-Fi', 'Thriller']","[0, 17, 19]",0,0
2.3,['Comedy'],[4],0,0
2.5,"['Comedy', 'Crime', 'Family', 'Sci-Fi']","[4, 5, 8, 17]",0,0
6.7,"['Adventure', 'Family', 'Fantasy', 'Musical']","[1, 8, 9, 14]",0,0
2.1,['Horror'],[12],0,0
2.2,"['Fantasy', 'Horror']","[9, 12]",0,0
2.2,"['Action', 'Adventure', 'Fantasy']","[0, 1, 9]",0,0
1.8,['Comedy'],[4],0,0
6.9,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']","[7, 9, 12, 15, 19]",0,0
2.5,"['Action', 'Comedy']","[0, 4]",0,1
2.4,"['Family', 'Comedy']","[8, 4]",0,0
